BadUnexpectedError,0x80010000,An unexpected error occurred.
BadInternalError,0x80020000,An internal error occurred as a result of a programming or configuration error.
BadOutOfMemory,0x80030000,Not enough memory to complete the operation.
BadResourceUnavailable,0x80040000,An operating system resource is not available.
BadCommunicationError,0x80050000,A low level communication error occurred.
BadEncodingError,0x80060000,Encoding halted because of invalid data in the objects being serialized.
BadDecodingError,0x80070000,Decoding halted because of invalid data in the stream.
BadEncodingLimitsExceeded,0x80080000,The message encoding/decoding limits imposed by the stack have been exceeded.
BadRequestTooLarge,0x80B80000,The request message size exceeds limits set by the server.
BadResponseTooLarge,0x80B90000,The response message size exceeds limits set by the client.
BadUnknownResponse,0x80090000,An unrecognized response was received from the server.
BadTimeout,0x800A0000,The operation timed out.
BadServiceUnsupported,0x800B0000,The server does not support the requested service.
BadShutdown,0x800C0000,The operation was cancelled because the application is shutting down.
BadServerNotConnected,0x800D0000,The operation could not complete because the client is not connected to the server.
BadServerHalted,0x800E0000,The server has stopped and cannot process any requests.
BadNothingToDo,0x800F0000,There was nothing to do because the client passed a list of operations with no elements.
BadTooManyOperations,0x80100000,The request could not be processed because it specified too many operations.
BadTooManyMonitoredItems,0x80DB0000,The request could not be processed because there are too many monitored items in the subscription.
BadDataTypeIdUnknown,0x80110000,The extension object cannot be (de)serialized because the data type id is not recognized.
BadCertificateInvalid,0x80120000,The certificate provided as a parameter is not valid.
BadSecurityChecksFailed,0x80130000,An error occurred verifying security.
BadCertificateTimeInvalid,0x80140000,The Certificate has expired or is not yet valid.
BadCertificateIssuerTimeInvalid,0x80150000,An Issuer Certificate has expired or is not yet valid.
BadCertificateHostNameInvalid,0x80160000,The HostName used to connect to a Server does not match a HostName in the Certificate.
BadCertificateUriInvalid,0x80170000,The URI specified in the ApplicationDescription does not match the URI in the Certificate.
BadCertificateUseNotAllowed,0x80180000,The Certificate may not be used for the requested operation.
BadCertificateIssuerUseNotAllowed,0x80190000,The Issuer Certificate may not be used for the requested operation.
BadCertificateUntrusted,0x801A0000,The Certificate is not trusted.
BadCertificateRevocationUnknown,0x801B0000,It was not possible to determine if the Certificate has been revoked.
BadCertificateIssuerRevocationUnknown,0x801C0000,It was not possible to determine if the Issuer Certificate has been revoked.
BadCertificateRevoked,0x801D0000,The certificate has been revoked.
BadCertificateIssuerRevoked,0x801E0000,The issuer certificate has been revoked.
BadCertificateChainIncomplete,0x810D0000,The certificate chain is incomplete.
BadUserAccessDenied,0x801F0000,User does not have permission to perform the requested operation.
BadIdentityTokenInvalid,0x80200000,The user identity token is not valid.
BadIdentityTokenRejected,0x80210000,The user identity token is valid but the server has rejected it.
BadSecureChannelIdInvalid,0x80220000,The specified secure channel is no longer valid.
BadInvalidTimestamp,0x80230000,The timestamp is outside the range allowed by the server.
BadNonceInvalid,0x80240000,The nonce does appear to be not a random value or it is not the correct length.
BadSessionIdInvalid,0x80250000,The session id is not valid.
BadSessionClosed,0x80260000,The session was closed by the client.
BadSessionNotActivated,0x80270000,The session cannot be used because ActivateSession has not been called.
BadSubscriptionIdInvalid,0x80280000,The subscription id is not valid.
BadRequestHeaderInvalid,0x802A0000,The header for the request is missing or invalid.
BadTimestampsToReturnInvalid,0x802B0000,The timestamps to return parameter is invalid.
BadRequestCancelledByClient,0x802C0000,The request was cancelled by the client.
BadTooManyArguments,0x80E50000,Too many arguments were provided.
GoodSubscriptionTransferred,0x002D0000,The subscription was transferred to another session.
GoodCompletesAsynchronously,0x002E0000,The processing will complete asynchronously.
GoodOverload,0x002F0000,Sampling has slowed down due to resource limitations.
GoodClamped,0x00300000,The value written was accepted but was clamped.
BadNoCommunication,0x80310000,Communication with the data source is defined, but not established, and there is no last known value available.
BadWaitingForInitialData,0x80320000,Waiting for the server to obtain values from the underlying data source.
BadNodeIdInvalid,0x80330000,The syntax of the node id is not valid.
BadNodeIdUnknown,0x80340000,The node id refers to a node that does not exist in the server address space.
BadAttributeIdInvalid,0x80350000,The attribute is not supported for the specified Node.
BadIndexRangeInvalid,0x80360000,The syntax of the index range parameter is invalid.
BadIndexRangeNoData,0x80370000,No data exists within the range of indexes specified.
BadDataEncodingInvalid,0x80380000,The data encoding is invalid.
BadDataEncodingUnsupported,0x80390000,The server does not support the requested data encoding for the node.
BadNotReadable,0x803A0000,The access level does not allow reading or subscribing to the Node.
BadNotWritable,0x803B0000,The access level does not allow writing to the Node.
BadOutOfRange,0x803C0000,The value was out of range.
BadNotSupported,0x803D0000,The requested operation is not supported.
BadNotFound,0x803E0000,A requested item was not found or a search operation ended without success.
BadObjectDeleted,0x803F0000,The object cannot be used because it has been deleted.
BadNotImplemented,0x80400000,Requested operation is not implemented.
BadMonitoringModeInvalid,0x80410000,The monitoring mode is invalid.
BadMonitoredItemIdInvalid,0x80420000,The monitoring item id does not refer to a valid monitored item.
BadMonitoredItemFilterInvalid,0x80430000,The monitored item filter parameter is not valid.
BadMonitoredItemFilterUnsupported,0x80440000,The server does not support the requested monitored item filter.
BadFilterNotAllowed,0x80450000,A monitoring filter cannot be used in combination with the attribute specified.
BadStructureMissing,0x80460000,A mandatory structured parameter was missing or null.
BadEventFilterInvalid,0x80470000,The event filter is not valid.
BadContentFilterInvalid,0x80480000,The content filter is not valid.
BadFilterOperatorInvalid,0x80C10000,An unregognized operator was provided in a filter.
BadFilterOperatorUnsupported,0x80C20000,A valid operator was provided, but the server does not provide support for this filter operator.
BadFilterOperandCountMismatch,0x80C30000,The number of operands provided for the filter operator was less then expected for the operand provided.
BadFilterOperandInvalid,0x80490000,The operand used in a content filter is not valid.
BadFilterElementInvalid,0x80C40000,The referenced element is not a valid element in the content filter.
BadFilterLiteralInvalid,0x80C50000,The referenced literal is not a valid value.
BadContinuationPointInvalid,0x804A0000,The continuation point provide is longer valid.
BadNoContinuationPoints,0x804B0000,The operation could not be processed because all continuation points have been allocated.
BadReferenceTypeIdInvalid,0x804C0000,The operation could not be processed because all continuation points have been allocated.
BadBrowseDirectionInvalid,0x804D0000,The browse direction is not valid.
BadNodeNotInView,0x804E0000,The node is not part of the view.
